target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=2.16.186.90,29376,10.61659,9.575825,9.861795,9.578905,9.597895,,,,,
targetIP=88.134.181.107,29377,16.07981,17.3639,13.372005,13.84555,14.448505,,,,,
targetIP=65.152.116.27,10576,25.730795,24.937675,25.52971,23.36297,23.010495,,,,,
targetIP=24.156.140.99,29379,14.67369,15.441625,14.019825,13.581345,,,,,,
targetIP=95.100.96.171,24147,22.81816,22.96264,22.654725,22.73315,22.975025,,,,,
targetIP=129.143.66.136,21424,1.38461,1.302005,1.2696,1.244625,1.2505,,,,,
targetIP=193.247.167.144,24142,0.577875,0.524925,0.508065,0.573345,0.56792,,,,,
targetIP=104.83.5.18,18931,9.024135,8.145525,6.9014,7.2967,6.960275,,,,,
targetIP=23.64.15.82,18939,9.27701,8.6177,6.51397,6.718825,7.02323,,,,,
targetIP=2.16.216.64,32467,12.76005,12.5394,12.640725,12.554185,12.492075,,,,,
targetIP=82.216.34.10,30628,9.907515,10.132975,9.9407,9.717745,10.539715,,,,,
targetIP=64.126.131.3,33759,6.423255,5.82127,6.329955,5.891235,4.97753,,,,,
targetIP=95.101.78.203,30621,13.52776,14.380475,12.968445,13.012375,15.166405,,,,,
targetIP=2.21.78.210,30626,34.887105,23.32318,24.85946,24.733285,29.20316,,,,,
targetIP=82.94.229.17,18824,4.57552,5.28023,5.285705,4.508255,4.541885,,,,,
targetIP=221.110.152.79,33754,19.0525,19.200175,18.976185,18.809025,18.98778,,,,,
targetIP=104.96.169.42,11843,1.08199,0.991835,0.705395,0.711615,0.6454,,,,,
targetIP=88.221.254.32,13308,16.764995,14.991355,14.73329,16.49658,15.366785,,,,,
targetIP=92.123.226.27,11841,18.49733,18.18014,17.84413,17.776625,17.79631,,,,,
targetIP=42.127.234.25,33022,8.341355,7.983985,7.97249,8.004045,7.68765,,,,,
targetIP=77.222.148.104,29596,0.85519,0.749985,0.75384,0.72498,0.724315,,,,,
targetIP=92.122.122.138,33937,4.829025,4.392015,4.431465,4.42053,4.45341,,,,,
targetIP=206.248.168.169,29594,20.825535,21.17732,20.792995,20.76602,21.23498,,,,,
targetIP=104.103.72.82,29590,12.214475,12.54715,11.858005,12.09342,11.931785,,,,,
targetIP=80.239.217.88,18312,3.043385,2.346305,2.221495,1.9636,2.24039,,,,,
targetIP=125.214.166.9,18645,2.336375,2.140945,2.24232,2.19684,2.17234,,,,,
targetIP=89.27.241.57,24554,12.77593,12.31334,12.06046,12.472755,12.25493,,,,,
targetIP=173.223.11.150,33241,14.043305,14.593165,14.34785,14.156855,14.24746,,,,,
targetIP=78.11.252.66,34913,1.42433,1.326115,1.2103,1.195905,1.159515,,,,,
targetIP=125.214.166.9,18643,2.053655,1.96369,1.86734,1.91436,1.860745,,,,,
targetIP=193.170.140.72,11119,0.62326,0.67709,0.53383,0.52956,0.498575,,,,,
targetIP=92.123.226.57,11118,26.78411,27.161675,26.40082,25.91775,25.7341,,,,,
targetIP=195.249.50.56,690,17.069571,12.347906,14.562051,16.103427,11.328002,,,,,
targetIP=195.249.209.171,691,10.041602,10.817282,10.625282,10.58381,10.616834,,,,,
targetIP=188.43.76.73,697,27.973638,27.966726,27.944454,27.91143,27.925254,,,,,
targetIP=23.192.239.144,28359,15.278705,15.353165,15.032835,15.05144,15.352125,,,,,
targetIP=193.170.140.78,11110,0.485785,0.45987,0.473695,0.446935,0.479945,,,,,
targetIP=82.216.34.10,28427,7.876145,6.86048,6.821375,6.845835,6.67571,,,,,
targetIP=91.223.19.241,699,1.219584,1.130496,1.285632,1.297152,1.130496,,,,,
targetIP=209.121.139.163,28421,159.287485,159.07332,159.05921,159.07609,158.94444,,,,,
targetIP=58.159.200.25,28352,3.49624,1.09262,2.9936,1.117125,1.27781,,,,,
targetIP=92.123.155.49,28423,12.0522,12.06458,11.84759,11.86126,11.805075,,,,,
targetIP=23.55.58.219,28422,2.721655,2.49092,2.64813,2.659155,2.650925,,,,,
targetIP=173.223.11.150,30335,5.17011,4.765345,5.238525,4.963415,4.706715,,,,,
targetIP=196.46.1.145,19574,1.059195,0.515285,0.53111,0.54304,0.52782,,,,,
targetIP=23.205.220.35,30330,20.466485,20.00328,20.05573,20.11648,20.096465,,,,,
targetIP=23.192.239.144,34307,22.42906,21.638155,21.735175,21.61636,21.77096,,,,,
targetIP=62.4.254.199,34306,10.553975,10.441685,10.485,10.423045,10.54956,,,,,
targetIP=60.210.22.171,34308,17.72604,17.424225,17.42153,17.507565,17.466935,,,,,
targetIP=203.184.9.25,30338,3.12668,3.054625,3.025445,3.047495,3.017705,,,,,
